США:{'Заболели': 45050910, 'Умерли': 726196, 'Вылечились': 0, 'Активные случаи': -1}
Индия:{'Заболели': 34094373, 'Умерли': 452454, 'Вылечились': 0, 'Активные случаи': 33641919}
Бразилия:{'Заболели': 21651910, 'Умерли': 603465, 'Вылечились': 0, 'Активные случаи': 21048445}
Великобритания:{'Заболели': 8510198, 'Умерли': 138729, 'Вылечились': 0, 'Активные случаи': -1}
Россия:{'Заболели': 8060752, 'Умерли': 225325, 'Вылечились': 7040481, 'Активные случаи': 794946}
Турция:{'Заболели': 7683487, 'Умерли': 67837, 'Вылечились': 0, 'Активные случаи': 7615650}
Франция:{'Заболели': 6936255, 'Умерли': 115175, 'Вылечились': 0, 'Активные случаи': -1}
Иран:{'Заболели': 5796659, 'Умерли': 124256, 'Вылечились': 0, 'Активные случаи': 5672403}
Аргентина:{'Заболели': 5273463, 'Умерли': 115704, 'Вылечились': 0, 'Активные случаи': 5157759}
Испания:{'Заболели': 4988878, 'Умерли': 87030, 'Вылечились': 0, 'Активные случаи': -1}
Колумбия:{'Заболели': 4982575, 'Умерли': 126886, 'Вылечились': 0, 'Активные случаи': 4855689}
Италия:{'Заболели': 4719493, 'Умерли': 131585, 'Вылечились': 0, 'Активные случаи': 4587908}
Германия:{'Заболели': 4388581, 'Умерли': 94720, 'Вылечились': 0, 'Активные случаи': 4293861}
Индонезия:{'Заболели': 4235384, 'Умерли': 142999, 'Вылечились': 0, 'Активные случаи': 4092385}
Мексика:{'Заболели': 3758469, 'Умерли': 284477, 'Вылечились': 0, 'Активные случаи': 3473992}
Польша:{'Заболели': 2941126, 'Умерли': 76115, 'Вылечились': 0, 'Активные случаи': 2865011}
ЮАР:{'Заболели': 2916803, 'Умерли': 88619, 'Вылечились': 0, 'Активные случаи': 2828184}
Украина:{'Заболели': 2767743, 'Умерли': 64797, 'Вылечились': 0, 'Активные случаи': 2702946}
Филиппины:{'Заболели': 2727286, 'Умерли': 40761, 'Вылечились': 0, 'Активные случаи': 2686525}
Малайзия:{'Заболели': 2396121, 'Умерли': 27993, 'Вылечились': 0, 'Активные случаи': 2368128}
Перу:{'Заболели': 2190396, 'Умерли': 199882, 'Вылечились': 0, 'Активные случаи': 1990514}
Нидерланды:{'Заболели': 2053406, 'Умерли': 18269, 'Вылечились': 0, 'Активные случаи': -1}
